Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
3/10/1988,The Metropolitan,Randwick,Natski,0.3,$2F,G1,Mick Dittman,Jack Denham
3/10/1988,The Shorts,Randwick,Potter McQueen,0.2,$15 ,LR,Larry Olsen,Tommy Smith
3/10/1988,Widden Stakes,Randwick,Momentaire,2.8,$4 ,LR,Mick Dittman,Tommy Smith
5/10/1988,Cranbourne Cup,Cranbourne,Celtic Spirit,2.5,$21 ,LR,Chris Barrett,Meggs Elkington
8/10/1988,Hill Smith Stakes,Morphettville,Some Path,0.5,$11 ,LR,Wayne Hokai,Christine Wort
8/10/1988,Caulfield Guineas,Caulfield,Vitalic,0.1,$5.50 ,G1,Brent Thomson,Meggs Elkington
8/10/1988,Herbert Power Stakes,Caulfield,Congressman,0.2,$11 ,G2,Darren Gauci,George Hanlon
8/10/1988,MRC Debutante Stakes,Caulfield,Seaside Lady,2,$3.75F,G3,Harry White,Steve Richards
8/10/1988,The Might And Power,Caulfield,Sky Chase,2,$5 ,G1,John Marshall,Bart Cummings
8/10/1988,Thoroughbred Club Stakes,Caulfield,Boardwalk Angel,4,$3.75F,G3,Darren Gauci,George Hanlon
8/10/1988,Toorak Handicap,Caulfield,Planet Ruler,1,$4.50 ,G1,Brian York,Bruce McLachlan
8/10/1988,Tristarc Stakes,Caulfield,Taffeta Bow,0.4,$17 ,LR,Robert Heffernan,George Hanlon
8/10/1988,Fairetha Stakes,Belmont,Perfect Answer,0.4,$13 ,LR,Stephen Miller,Steve Wallace
9/10/1988,Canberra Cup,Canberra,Centose,5,$3F,LR,Kevin Moses,Guy Walter
10/10/1988,John Letts Cup,Morphettville,Wolveraction,0.8,$7 ,G3,Peter Hutchinson,Colin Hayes
10/10/1988,SAJC Labour Day Cup,Morphettville,Windy Son,0.1,$21 ,LR,Sam Buhagiar,R Nicholson
12/10/1988,Coongy Cup,Caulfield,Ideal Centreman,1,$8 ,G3,Brent Thomson,Clive Balfour
12/10/1988,Mona Nursery Handicap,Caulfield,Spanglet,0.5,$51 ,LR,Gary Willetts,Geoff Murphy
12/10/1988,One Thousand Guineas,Caulfield,Riverina Charm,1,$2.50F,G1,Darren Gauci,Brian Mayfield-Smith
12/10/1988,VATC Gwyn Nursery,Caulfield,Mabrook,1.8,$4.50F,LR,Wayne Treloar,Ken Rogerson
15/10/1988,City Tattersall's Club Cup,Randwick,Peaceful Kingdom,0.4,$21 ,LR,Malcolm Johnston,Bob Law
15/10/1988,Sydney Stakes,Randwick,Diamond Benny,1.3,$67 ,LR,Tracey Bartley,Cliff Bashford
15/10/1988,Durbridge Stakes,Morphettville,Spirit Of Emily,0.4,$7.50 ,LR,Darren Nye,John Hall
15/10/1988,C.E. McDougall Stakes,Eagle Farm,Do You Remember,1.8,$5.50 ,LR,Tony Erhart,P Strong
15/10/1988,Phelan Ready Stakes,Eagle Farm,Red Rancher,3,$1.90F,LR,Neil Williams,Jim Griffiths
15/10/1988,Caulfield Classic,Caulfield,Panneria,1.5,$17 ,LR,Chris Barrett,Meggs Elkington
15/10/1988,Caulfield Cup,Caulfield,Imposera,0.1,$51 ,G1,Brian York,Ross McDonald
15/10/1988,Caulfield Sprint,Caulfield,Rendoo,0.1,$8 ,LR,Stephen Schofield,Geoff Murphy
15/10/1988,Gothic Stakes,Caulfield,Kingston Heritage,3,$21 ,LR,John Marshall,Geoff Murphy
15/10/1988,Moonga Stakes,Caulfield,Vo Rogue,0.75,$2.75F,LR,Peter Cook,Vic Rail
15/10/1988,VATC Debutant Stakes,Caulfield,Average Game,4,$17 ,G3,Rodney Dawkins,Ted Harvey
15/10/1988,R.S. Crawford Stakes,Belmont,Ableson,0.5,$9 ,LR,Danny Miller,Reg Treffone
19/10/1988,MBRC Murray Bridge Gold Cup,Murray Bridge,Conbituate Lady,1.3,$26 ,LR,Justin Sheehan,Gavin Kelly
19/10/1988,Geelong Cup,Geelong,Our Classic Bay,0.5,$7 ,LR,Brent Thomson,Merv Andrews
19/10/1988,Geelong Derby Trial,Geelong,Sir Midas,3,$8 ,LR,John Marshall,Bart Cummings
20/10/1988,Geelong Oaks Trial,Geelong,Trappings,0.2,$2.40 ,LR,Michael Clarke,Neville Begg
22/10/1988,Silver Slipper Stakes,Rosehill,Show County,4,$2.10F,G2,Brian Wood,Max Wiggins
22/10/1988,Alexandra Stakes,Moonee Valley,Memphis Blues,0.2,$3F,LR,Michael Clarke,Colin Hayes
22/10/1988,Cox Plate,Moonee Valley,Our Poetic Prince,1.3,$2.25F,G1,Noel Harris,John Wheeler
